Targa,Id,Odonimo,Codvia,Lunghezza,Data rilievo,Tecnico incaricato,ID Pianta,Specie,Sito Impianto,Lat,Log,h (m),Diametro (cm),Dist. sede stradale (m),Dist. marciapiede (m),CPC,Cod. lavorazione/elenco prezzi,Note,Data lav. F1,Cod. lavorazione - F2,Lavori - F2,Prezzo F2,Data lav. F2,Cod. lavorazione - F3,Lavori - F3,Prezzo F3,Data lav. F3,Cod. lavorazione - F4,Lavori - F4,Prezzo F4,Data lav. F4,Descrizione,Unità di misura,Prezzo Unitario,UPL,Quartiere,Circoscrizione,CO2 catturata (kg/anno),O2 prodotto (kg/anno)
AG036AG,ALB_637,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8518,Platanus × hispanica,,38.13428325,13.31237795,7.3,0.1,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,8.71,23.01
AG037AG,ALB_638,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8484,Platanus × hispanica,,38.13432581,13.31247602,12.73,0.26,,,D,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,29.7,78.49
AG038AG,ALB_639,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8514,Celtis australis,,38.13436808,13.31258,6.8,0.22,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,20.22,53.44
AG039AG,ALB_640,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8498,Platanus × hispanica,,38.1344112,13.31268059,15.14,0.5,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,133.88,353.77
AG040AG,ALB_641,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8588,Platanus × hispanica,,38.13445477,13.31277853,4.8,0.07,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,3.23,8.53
AG041AG,ALB_642,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8516,Platanus × hispanica,,38.13449798,13.31287876,14.54,0.45,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,113.55,300.06
AG042AG,ALB_643,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8353,Platanus orientalis,,38.13499355,13.31404049,9.43,0.39,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,131.18,346.65
AG043AG,ALB_644,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8365,Platanus × hispanica,,38.13505412,13.3141845,14.6,0.37,,,C/D,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,86.65,228.98
AG044AG,ALB_645,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8560,Handroanthus heptaphyllus,,38.13506431,13.31389337,2.95,0.04,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,22.71,59.99
AG045AG,ALB_646,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8524,Handroanthus heptaphyllus,,38.13510854,13.31399561,3.1,0.03,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,19.15,50.6
AG046AG,ALB_647,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8566,Fraxinus ornus,,38.13513696,13.31406266,3.53,0.04,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,3.52,9.3
AG047AG,ALB_648,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8576,Fraxinus ornus,,38.13517538,13.31415076,2.98,0.04,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,2.38,6.27
AG048AG,ALB_649,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8582,,,38.13521238,13.31423581,3.12,0.05,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AG049AG,ALB_650,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8521,Handroanthus heptaphyllus,,38.13524301,13.31430971,3.15,-,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AG050AG,ALB_651,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8341,Platanus × hispanica,,38.13513587,13.31437583,10.44,0.21,,,D,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,24.33,64.3
AG051AG,ALB_652,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8346,Platanus × hispanica,,38.13516666,13.31444553,13.8,0.39,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,94,248.38
AG052AG,ALB_653,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8591,Fraxinus ornus,,38.13531695,13.31448187,3.17,0.04,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,4.19,11.07
AG053AG,ALB_654,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8536,Celtis australis,,38.13534476,13.31454791,3.95,0.03,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,1.9,5.02
AG054AG,ALB_655,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8349,Platanus × hispanica,,38.13521899,13.31456776,15.8,0.49,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,78.38,207.11
AG055AG,ALB_656,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8577,Handroanthus heptaphyllus,,38.13537566,13.31461823,3.26,0.06,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,33.69,89.01
AG056AG,ALB_657,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8370,Celtis australis,,38.13526578,13.31467796,4.51,0.09,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,5.62,14.84
AG057AG,ALB_658,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8558,,,38.13540104,13.31468116,3.93,0.07,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AG058AG,ALB_659,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8538,Handroanthus heptaphyllus,,38.13543137,13.31475153,3.81,0.07,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,34.13,90.2
AG059AG,ALB_660,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8553,Handroanthus heptaphyllus,,38.135456,13.31481038,3.68,0.04,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,24.29,64.18
AG060AG,ALB_661,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8367,Celtis australis,,38.13535058,13.31487617,4.25,0.11,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,8.17,21.57
AG061AG,ALB_662,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8567,,,38.1355055,13.31492641,3.34,0.03,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,11.97,31.61
AG062AG,ALB_663,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8557,,,38.13554704,13.31502173,3.57,0.05,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AG063AG,ALB_664,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8374,Platanus × hispanica,,38.13543698,13.31507467,4,0.07,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,4.73,12.5
AG064AG,ALB_665,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8522,Prunus serrulata,,38.1355883,13.31511535,3.54,0.03,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,0.59,1.54
AG065AG,ALB_666,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8343,Platanus × hispanica,,38.13548029,13.31517727,9.43,0.24,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,20.95,55.35
AG066AG,ALB_667,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8532,Tabebuia rosea,,38.13561622,13.31518155,3.79,0.06,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,12.54,33.14
AG067AG,ALB_668,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8547,Tabebuia rosea,,38.13564915,13.31526084,3.74,0.04,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,10.76,28.41
AG068AG,ALB_669,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8350,Platanus × hispanica,,38.13552445,13.31528217,7.18,0.12,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,7.68,20.29
AG069AG,ALB_670,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8348,Platanus × hispanica,,38.13556654,13.31537842,12.58,0.24,,,D,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,32.42,85.67
AG070AG,ALB_671,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8372,Platanus × hispanica,,38.1356073,13.31547704,4.74,0.07,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,5,13.21
